building_id,building_name,building_type,address,city,postal_code,construction_year,surface_m2,number_of_floors,heating_type,annual_energy_consumption_kwh,energy_intensity_kwh_m2_year,dpe_rating,co2_emissions_kg_year,insulation_quality,occupancy_rate,number_of_occupants,has_solar_panels,last_energy_audit_year,accessibility_status,asbestos_risk,heritage_status,latitude,longitude
1,École municipale 001,École,124 rue Victor Hugo,Dijon,21000,1986,3832.47,4,Gaz,572762.64,149.45,F,114552.53,Moyenne,0.6623,564,False,2024,Conforme,True,Non protégé,47.369239,5.070329
2,École municipale 002,École,129 rue des Écoles,Strasbourg,67000,1922,5877.38,4,Gaz,,,F,,Faible,0.7061,922,False,,Conforme,True,Non protégé,48.535101,7.751697
3,École municipale 003,École,216 rue Jean Jaurès,Montpellier,34000,1912,4450.04,3,Gaz,788013.08,177.08,G,157602.62,Très bonne,0.8011,792,False,2023,Travaux requis,False,Non protégé,43.593528,3.877213
4,École municipale 004,École,119 rue des Écoles,Marseille,13000,2018,4715.33,3,Réseau urbain,165036.55,35,A,16503.65,Très bonne,0.7288,763,False,2023,Conforme,False,Non protégé,43.295263,5.343338
5,École municipale 005,École,83 rue de la République,Lille,59000,1989,5809.34,4,Gaz,800236.58,137.75,D,160047.32,Moyenne,0.7678,991,False,2023,Travaux requis,False,Non protégé,50.606752,3.010628
6,École municipale 006,École,161 rue de la République,Montpellier,34000,1978,2569.05,2,Fioul,491073.91,191.15,E,132589.96,Moyenne,0.7981,455,False,2025,Partiellement conforme,False,Non protégé,43.574583,3.88298
7,École municipale 007,École,175 rue Victor Hugo,Bordeaux,33000,1950,4912.74,4,Réseau urbain,608590.23,123.88,F,60859.02,Très bonne,0.6776,739,False,2022,Conforme,False,Non protégé,44.803465,-0.591102
8,École municipale 008,École,38 rue des Écoles,Marseille,13000,1902,5548.1,4,Réseau urbain,1362114.03,245.51,G,136211.4,Faible,0.7714,951,False,2017,Conforme,False,Non protégé,43.315444,5.411167
9,EHPAD municipale 009,EHPAD,49 rue de la République,Montpellier,34000,1941,6385.54,4,Biomasse,,,G,,Faible,0.812,2356,False,,Travaux requis,False,Non protégé,43.630461,3.841026
10,EHPAD municipale 010,EHPAD,31 rue de la République,Lille,59000,1917,5280.12,4,Pompe à chaleur,970380.45,183.78,G,38815.22,Faible,0.911,2186,False,2025,Partiellement conforme,True,Non protégé,50.658639,3.025103
11,École municipale 011,École,135 rue Victor Hugo,Strasbourg,67000,1959,987.29,1,Pompe à chaleur,181315.81,183.65,E,7252.63,Faible,0.7113,156,False,2017,Conforme,True,Non protégé,48.525156,7.736281
12,École municipale 012,École,7 rue Jean Jaurès,Lyon,69000,1953,5852.25,4,Gaz,1989940.57,340.03,E,397988.11,Faible,0.607,789,False,2024,Conforme,False,Non protégé,45.714519,4.800547
13,EHPAD municipale 013,EHPAD,114 rue des Écoles,Nantes,44000,1953,5742.72,4,Gaz,1602735.72,279.09,E,320547.14,Faible,0.8899,2322,False,2022,Conforme,False,Non protégé,47.171968,-1.596119
14,Gymnase municipale 014,Gymnase,55 rue Jean Jaurès,Dijon,21000,1953,5882.19,5,Gaz,1660483.42,282.29,F,332096.68,Moyenne,0.35,274,False,2025,Partiellement conforme,True,Non protégé,47.315771,5.028844
15,Bibliothèque municipale 015,Bibliothèque,70 rue Pasteur,Toulouse,31000,2015,3018.59,2,Gaz,105650.65,35,B,21130.13,Très bonne,0.8159,492,False,2019,Conforme,False,Non protégé,43.599744,1.483689
16,École municipale 016,École,9 rue Victor Hugo,Toulouse,31000,2006,4351.98,3,Gaz,273260.82,62.79,B,54652.16,Bonne,0.7394,715,False,2025,Conforme,False,Non protégé,43.577733,1.470967
17,Bibliothèque municipale 017,Bibliothèque,75 rue Jean Jaurès,Toulouse,31000,2019,3122.71,3,Gaz,118100.89,37.82,B,23620.18,Très bonne,0.8125,507,True,2022,Conforme,False,Non protégé,43.60591,1.470175
18,École municipale 018,École,84 rue de la République,Nantes,44000,1953,4557.62,4,Pompe à chaleur,796763.13,174.82,G,31870.53,Faible,0.8978,909,True,2025,Conforme,False,Non protégé,47.175864,-1.546139
19,École municipale 019,École,53 rue Victor Hugo,Toulouse,31000,2006,2371.61,2,Électrique,167222.22,70.51,B,10033.33,Bonne,0.6459,340,True,2017,Conforme,False,Non protégé,43.633069,1.48975
20,Crèche municipale 020,Crèche,2 rue des Écoles,Strasbourg,67000,2014,1794.22,2,Biomasse,71948.22,40.1,C,2158.45,Très bonne,0.6911,154,False,2025,Partiellement conforme,False,Non protégé,48.553026,7.7779
21,École municipale 021,École,125 rue Jean Jaurès,Dijon,21000,2020,3644.77,4,Gaz,127566.95,35,B,25513.39,Très bonne,0.6867,556,False,2023,Conforme,False,Non protégé,47.370693,5.034251
22,École municipale 022,École,121 rue Jean Jaurès,Toulouse,31000,1927,5600.43,4,Biomasse,,,G,,Faible,0.842,1047,False,,Partiellement conforme,False,Non protégé,43.589527,1.43894
23,EHPAD municipale 023,EHPAD,168 rue des Écoles,Lyon,69000,1991,6612.59,5,Fioul,1180016.69,178.45,C,318604.51,Moyenne,0.9513,2859,True,2015,Conforme,False,Non protégé,45.80115,4.88299
24,EHPAD municipale 024,EHPAD,52 rue Jean Jaurès,Lille,59000,1937,2712.93,2,Électrique,846407.03,311.99,G,50784.42,Faible,0.9383,1157,True,2025,Conforme,False,Non protégé,50.590934,3.016224
25,Gymnase municipale 025,Gymnase,131 rue de la République,Paris,75000,1957,5260.3,3,Gaz,,,G,,Faible,0.4558,319,False,,Partiellement conforme,False,Non protégé,48.861473,2.307295
26,Crèche municipale 026,Crèche,153 rue des Écoles,Dijon,21000,1914,1361.78,1,Pompe à chaleur,292401.4,214.72,F,11696.06,Faible,0.6427,109,False,2021,Partiellement conforme,False,Non protégé,47.298471,5.06094
27,Mairie municipale 027,Mairie,113 rue de la République,Bordeaux,33000,1926,721.94,1,Gaz,269586.83,373.42,G,53917.37,Faible,0.6604,125,False,2017,Conforme,False,Non protégé,44.812536,-0.598046
28,Mairie municipale 028,Mairie,40 rue Pasteur,Lille,59000,1957,2942.33,3,Électrique,766035.62,260.35,E,45962.14,Faible,0.5962,461,False,2023,Partiellement conforme,False,Non protégé,50.595599,3.01652
29,EHPAD municipale 029,EHPAD,123 rue de la République,Toulouse,31000,1968,6500.93,7,Électrique,1642720.0,252.69,,98563.2,Faible,0.9586,2832,False,2022,Conforme,False,Non protégé,43.574261,1.444067
30,EHPAD municipale 030,EHPAD,179 rue de la République,Montpellier,34000,2010,5090.79,5,Électrique,314916.27,61.86,C,18894.98,Bonne,0.8731,2020,False,2018,Conforme,False,Non protégé,43.586695,3.867678
31,Crèche municipale 031,Crèche,156 rue Victor Hugo,Strasbourg,67000,2017,1411.47,1,Pompe à chaleur,49401.45,35,A,1976.06,Très bonne,0.7897,139,False,2021,Conforme,False,Non protégé,48.600292,7.710101
32,École municipale 032,École,17 rue de la République,Paris,75000,1998,5091.25,5,Pompe à chaleur,530864.64,104.27,E,21234.59,Moyenne,0.8252,933,False,2017,Partiellement conforme,False,Non protégé,48.887425,2.370713
33,École municipale 033,École,142 rue Victor Hugo,Marseille,13000,1917,5146.89,4,Gaz,1765743.55,343.07,G,353148.71,Faible,0.8107,927,False,2016,Partiellement conforme,True,Non protégé,43.306318,5.404859
34,EHPAD municipale 034,EHPAD,26 rue des Écoles,Lille,59000,1912,3499.9,3,Réseau urbain,,,F,,Faible,0.9676,1539,False,,Conforme,True,Non protégé,50.602152,3.064261
35,EHPAD municipale 035,EHPAD,181 rue de la République,Bordeaux,33000,1927,5120.72,3,Gaz,1728959.9,337.64,G,345791.98,Faible,1.0,2327,True,2018,Conforme,False,Classé,44.793045,-0.553381
36,EHPAD municipale 036,EHPAD,138 rue des Écoles,Montpellier,34000,2020,2905.45,2,Biomasse,101690.75,35,A,3050.72,Très bonne,0.8276,1092,False,2020,Conforme,False,Non protégé,43.609116,3.868269
