project_id,building_id,project_type,start_date,end_date,planned_end_date,status,estimated_cost_eur,actual_cost_eur,cost_variance_percent,subsidy_amount_eur,funding_source,contractor_name,estimated_energy_savings_percent,actual_energy_savings_percent,annual_energy_savings_kwh,project_manager,procurement_method,priority_level,works_disruption_level
1,375,Isolation thermique,2020-02-03,2020-11-15,2020-09-23,Completed,1280215.77,1394238.33,8.91,624300.53,ADEME,SPIE Building Solutions,33.93,37.84,273770.67,Sophie Bernard,Accord-cadre,Moyenne,Moyen
2,416,Remplacement des menuiseries,2024-07-11,2024-09-18,2025-04-16,Cancelled,614457.75,71140.57,-88.42,18601.07,Autofinancement,Engie Solutions,9.64,,,Sophie Bernard,Appel d'offres ouvert,Moyenne,Moyen
3,359,Installation photovoltaïque,2016-03-10,2016-08-05,2016-07-14,Completed,680800.3,761470.11,11.85,170349.88,Région,Engie Solutions,7.86,9.69,44932.09,Karim Diallo,Marché négocié,Moyenne,Moyen
4,148,Ventilation double flux,2020-03-16,2020-12-01,2020-11-04,Completed,1690956.62,1817392.52,7.48,977080.83,Fonds vert,VINCI Facilities,19.17,15.06,300283.63,Alice Martin,MAPA,Moyenne,Moyen
5,16,Remplacement du chauffage,2021-08-15,2022-06-04,2022-05-11,Completed,1322060.78,1205358.37,-8.83,20464.43,Union européenne,Groupe Martin,19.15,12.87,35168.67,Sophie Bernard,Appel d'offres ouvert,Haute,Moyen
6,164,Rénovation de toiture,2024-06-10,2025-02-23,2025-01-29,Completed,591020.01,582201.97,-1.49,11781.15,Union européenne,Groupe Martin,16.07,14.04,119851.93,Emma Robert,MAPA,Basse,Faible
7,490,Remplacement du chauffage,2019-03-02,2019-11-07,2019-11-22,Completed,566849.07,527727.32,-6.9,43099.71,Département,Bouygues Bâtiment,17.11,24.38,,Jean Dupont,MAPA,Haute,Moyen
8,466,Rénovation de toiture,2018-04-12,2018-07-01,2018-06-25,Completed,1580631.83,1518309.97,-3.94,197826.75,ADEME,Engie Solutions,8.99,21.0,418900.19,Nicolas Leroy,Marché négocié,Basse,Faible
9,196,Remplacement des menuiseries,2019-03-06,2019-12-08,2019-11-12,Completed,616988.13,618620.03,0.26,7136.18,Union européenne,Eiffage Énergie,8.92,14.27,101191.01,Karim Diallo,Appel d'offres ouvert,Basse,Moyen
10,130,Remplacement des menuiseries,2024-06-20,2024-10-01,2024-09-05,Completed,1272264.41,1251144.25,-1.66,4359.6,Département,Groupe Martin,18.1,8.81,26814.19,Jean Dupont,Marché négocié,Moyenne,Élevé
11,443,Isolation thermique,2019-08-08,2019-11-03,2019-11-18,Completed,600105.03,578708.32,-3.57,35182.13,Département,Léon Grosse,21.81,31.92,,Alice Martin,Appel d'offres ouvert,Haute,Moyen
12,354,Isolation thermique,2025-04-04,,2025-12-27,In Progress,809112.71,358400.55,-55.7,33588.84,Union européenne,Entreprise Durand,21.49,,,Emma Robert,Appel d'offres ouvert,Moyenne,Élevé
13,425,Rénovation de toiture,2022-04-08,2023-01-31,2022-12-16,Completed,1159556.89,1177872.0,1.58,610446.2,Région,Engie Solutions,15.06,12.34,134588.9,Karim Diallo,MAPA,Basse,Élevé
14,301,Éclairage LED,2024-01-23,,2024-06-28,In Progress,980312.35,375813.29,-61.66,84357.16,Fonds vert,Engie Solutions,9.6,,,Sophie Bernard,Accord-cadre,Moyenne,Faible
15,118,Rénovation de toiture,2018-10-02,2019-03-09,2019-02-21,Completed,1057935.84,1217920.2,15.12,181460.17,Département,Groupe Martin,15.33,8.72,18646.98,Emma Robert,Accord-cadre,Moyenne,Élevé
16,497,Isolation thermique,2020-11-09,2021-03-10,2021-02-21,Completed,845606.79,814351.48,-3.7,70173.47,Département,SPIE Building Solutions,21.64,20.03,104701.9,Emma Robert,Marché négocié,Moyenne,Moyen
17,182,Ventilation double flux,2016-06-19,2017-04-13,2017-02-23,Completed,250929.35,260447.38,3.79,119070.82,Fonds vert,Eiffage Énergie,17.51,9.47,34529.13,Nicolas Leroy,Marché négocié,Moyenne,Moyen
18,97,Isolation thermique,2024-05-23,2025-01-28,2024-12-16,Completed,450851.87,427891.27,-5.09,155717.4,Région,Groupe Martin,25.15,32.89,180529.41,Nicolas Leroy,Accord-cadre,Moyenne,Moyen
19,244,Ventilation double flux,2025-11-23,,2026-04-06,In Progress,607199.9,347407.7,-42.79,176082.28,Union européenne,VINCI Facilities,14.6,,,Alice Martin,Accord-cadre,Moyenne,Élevé
20,488,Remplacement des menuiseries,2023-03-15,2023-07-03,2023-05-23,Completed,161125.51,154410.47,-4.17,43616.91,Fonds vert,Groupe Martin,9.19,8.91,2942.34,Emma Robert,Accord-cadre,Critique,Faible
21,236,Remplacement des menuiseries,2024-02-21,2024-08-09,2024-08-06,Completed,930105.65,870476.13,-6.41,162539.16,Fonds vert,Léon Grosse,16.96,11.48,,Emma Robert,Marché négocié,Basse,Faible
22,189,Isolation thermique,2016-11-24,2017-05-06,2017-03-29,Completed,171628.42,198551.28,15.69,82840.36,Département,Léon Grosse,25.83,32.96,12977.7,Karim Diallo,Accord-cadre,Critique,Faible
23,49,Rénovation de toiture,2022-03-09,2022-08-26,2022-07-28,Completed,226822.36,218647.44,-3.6,92549.03,Autofinancement,Eiffage Énergie,14.0,14.38,31924.04,Emma Robert,Accord-cadre,Critique,Élevé
24,39,Remplacement des menuiseries,2024-01-09,2024-10-07,2024-10-14,Completed,953709.73,1000259.2,4.88,439984.84,Fonds vert,Eiffage Énergie,15.01,7.73,39570.34,Jean Dupont,Accord-cadre,Haute,Moyen
25,386,Installation photovoltaïque,2021-07-23,2022-02-09,2021-12-30,Completed,878748.22,882814.17,0.46,25313.36,Autofinancement,SPIE Building Solutions,11.83,13.66,,Nicolas Leroy,Accord-cadre,Basse,Élevé
26,415,Remplacement du chauffage,2025-03-04,,2025-05-20,In Progress,343104.84,136454.92,-60.23,57054.21,Union européenne,Eiffage Énergie,24.25,,,Sophie Bernard,MAPA,Moyenne,Faible
27,83,Remplacement des menuiseries,2021-07-05,2021-10-20,2021-09-17,Completed,399868.93,400310.3,0.11,64071.5,Département,Engie Solutions,7.39,18.72,80667.55,Emma Robert,Marché négocié,Moyenne,Élevé
28,162,Rénovation de toiture,2020-06-13,2021-02-14,2021-02-22,Completed,157481.25,170662.59,8.37,70742.26,Fonds vert,Groupe Martin,16.31,9.44,6447.16,Nicolas Leroy,Appel d'offres ouvert,Moyenne,Faible
29,168,Rénovation de toiture,2018-07-04,2018-08-12,2019-04-07,Cancelled,587571.95,53189.52,-90.95,18896.27,Fonds vert,Groupe Martin,8.54,,,Nicolas Leroy,Marché négocié,Haute,Élevé
30,296,Remplacement des menuiseries,2018-07-10,2019-03-02,2019-01-21,Completed,1028833.52,1150037.87,11.78,605934.05,ADEME,Eiffage Énergie,7.19,11.58,155452.57,Nicolas Leroy,Accord-cadre,Critique,Moyen
31,118,Isolation thermique,2021-03-01,2021-05-09,2021-05-22,Completed,2526655.68,2892453.44,14.48,324340.23,Département,Entreprise Durand,25.79,18.94,40501.58,Sophie Bernard,Marché négocié,Moyenne,Moyen
32,304,Isolation thermique,2022-03-23,2022-09-16,2022-09-17,Completed,476130.36,481148.26,1.05,66098.41,Fonds vert,Eiffage Énergie,33.96,20.65,28072.31,Sophie Bernard,Marché négocié,Moyenne,Élevé
